timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-02T00:05:04,7,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.0104,0.0104,569988.313008
2026-04-02T00:05:11,7,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.0818,0.0818,569995.23234
2026-04-02T00:05:19,7,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.868,0.868,570001.786019
2026-04-02T00:05:25,7,single_finger,single_trial_04,1,index,f,3,SC3,f,1,True,True,0.1099,0.1099,570009.027564
2026-04-02T00:05:32,7,single_finger,single_trial_01,1,pinky,a,0,SC0,s,1,False,False,0.2325,0.2325,570015.695788
2026-04-02T00:05:40,7,single_finger,single_trial_01,2,pinky,a,0,SC0,s,1,False,False,2.8862,2.8862,570021.155298
2026-04-02T00:06:07,7,single_finger,single_trial_01,3,pinky,a,0,SC0,space,1,False,False,7.3787,7.3787,570043.662639
2026-04-02T00:06:16,7,single_finger,single_trial_01,4,pinky,a,0,SC0,s,1,False,False,0.0052,0.0052,570059.672068
2026-04-02T00:06:21,7,single_finger,single_trial_01,5,pinky,a,0,SC0,a,1,True,True,1.1566,1.1566,570064.297102
2026-04-02T00:06:31,7,consistency,consistency_trial_09,1,index,f,3,SC3,f,1,True,True,0.1523,0.1523,570075.393099
2026-04-02T00:06:37,7,consistency,consistency_trial_03,1,middle,d,2,SC2,d,1,True,True,0.0237,0.0237,570081.473904
2026-04-02T00:06:44,7,consistency,consistency_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.0805,0.0805,570088.102038
2026-04-02T00:06:51,7,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,1.4372,1.4372,570094.035527
2026-04-02T00:06:58,7,consistency,consistency_trial_02,1,ring,s,1,SC1,s,1,True,True,1.0558,1.0558,570100.826013
2026-04-02T00:07:04,7,consistency,consistency_trial_07,1,ring,s,1,SC1,s,1,True,True,0.8918,0.8918,570107.502203
2026-04-02T00:07:10,7,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.1475,0.1475,570114.329521
2026-04-02T00:07:21,7,consistency,consistency_trial_04,1,index,f,3,SC3,d,1,False,False,5.4066,5.4066,570120.185025
2026-04-02T00:07:29,7,consistency,consistency_trial_04,2,index,f,3,SC3,f,1,True,True,1.2755,1.2755,570131.910548
2026-04-02T00:07:36,7,consistency,consistency_trial_06,1,pinky,a,0,SC0,s,1,False,False,0.14,0.14,570139.571616
2026-04-02T00:07:41,7,consistency,consistency_trial_06,2,pinky,a,0,SC0,s,1,False,False,0.5028,0.5028,570144.565678
2026-04-02T00:07:46,7,consistency,consistency_trial_06,3,pinky,a,0,SC0,s,1,False,False,0.3611,0.3611,570149.732788
2026-04-02T00:07:53,7,consistency,consistency_trial_06,4,pinky,a,0,SC0,s,1,False,False,1.2175,1.2175,570155.630082
2026-04-02T00:07:57,7,consistency,consistency_trial_06,5,pinky,a,0,SC0,a,1,True,True,0.739,0.739,570160.749741
2026-04-02T00:08:09,7,consistency,consistency_trial_08,1,middle,d,2,SC2,d,1,True,True,4.8247,4.8247,570168.167927
2026-04-02T00:08:37,7,sequence,sequence_trial_07,1,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,a,1,False,False,6.2767,,570190.924134
2026-04-02T00:08:49,7,sequence,sequence_trial_07,2,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,d-s-a-f-space,5,False,False,5.0293,7.2334,570204.214454
2026-04-02T00:08:59,7,sequence,sequence_trial_07,3,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,a-f-d-s-space,5,False,False,1.7535,3.8675,570217.383046
2026-04-02T00:09:07,7,sequence,sequence_trial_07,4,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,a-f-d-s-space,5,False,False,0.9262,2.2613,570227.156217
2026-04-02T00:09:22,7,sequence,sequence_trial_07,5,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,a-d-s,3,False,False,6.9967,,570236.478572
2026-04-02T00:09:33,7,sequence,sequence_trial_01,1,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,s-d-f-space-a,5,False,False,1.2735,2.6507,570252.834739
2026-04-02T00:09:41,7,sequence,sequence_trial_01,2,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,s-d-f-a-space,5,False,False,0.7788,2.1185,570261.1737
2026-04-02T00:09:49,7,sequence,sequence_trial_01,3,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,a-d-s-f-space,5,False,False,0.4473,2.2289,570268.936757
2026-04-02T00:09:58,7,sequence,sequence_trial_01,4,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,a-f-s-d-space,5,False,False,0.757,2.9137,570276.896489
2026-04-02T00:10:11,7,sequence,sequence_trial_01,5,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,space,1,False,False,7.8806,,570285.040811
