timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-01T16:05:09,2,single_finger,single_trial_01,1,pinky,a,0,SC0,s,1,False,False,1.3377,1.3377,560923.573873
2026-04-01T16:05:26,2,single_finger,single_trial_01,2,pinky,a,0,SC0,s,1,False,False,4.8004,4.8004,560936.828101
2026-04-01T16:05:43,2,single_finger,single_trial_01,3,pinky,a,0,SC0,s,1,False,False,0.5634,0.5634,560957.569135
2026-04-01T16:05:48,2,single_finger,single_trial_01,4,pinky,a,0,SC0,a,1,True,True,0.1934,0.1934,560963.096356
2026-04-01T16:06:02,2,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.5087,0.5087,560977.030637
2026-04-01T16:06:10,2,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.6294,0.6294,560984.561944
2026-04-01T16:06:17,2,single_finger,single_trial_04,1,index,f,3,SC3,f,1,True,True,0.157,0.157,560992.263171
2026-04-01T16:06:23,2,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.0251,0.0251,560998.695756
2026-04-01T16:06:34,2,consistency,consistency_trial_09,1,index,f,3,SC3,f,1,True,True,0.8538,0.8538,561008.481408
2026-04-01T16:06:41,2,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.111,0.111,561016.161872
2026-04-01T16:06:47,2,consistency,consistency_trial_04,1,index,f,3,SC3,f,1,True,True,0.0166,0.0166,561022.416364
2026-04-01T16:06:53,2,consistency,consistency_trial_02,1,ring,s,1,SC1,s,1,True,True,0.0931,0.0931,561028.440159
2026-04-01T16:07:00,2,consistency,consistency_trial_07,1,ring,s,1,SC1,a,1,False,False,0.416,0.416,561034.9274
2026-04-01T16:07:04,2,consistency,consistency_trial_07,2,ring,s,1,SC1,s,1,True,True,0.1535,0.1535,561039.160616
2026-04-01T16:07:13,2,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,3.3853,3.3853,561045.286875
2026-04-01T16:07:20,2,consistency,consistency_trial_01,1,pinky,a,0,SC0,s,1,False,False,0.7737,0.7737,561055.082981
2026-04-01T16:07:26,2,consistency,consistency_trial_01,2,pinky,a,0,SC0,a,1,True,True,0.8611,0.8611,561060.539587
2026-04-01T16:07:32,2,consistency,consistency_trial_08,1,middle,d,2,SC2,d,1,True,True,0.4248,0.4248,561067.430653
2026-04-01T16:07:38,2,consistency,consistency_trial_06,1,pinky,a,0,SC0,a,1,True,True,0.191,0.191,561073.698237
2026-04-01T16:08:04,2,consistency,consistency_trial_03,1,middle,d,2,SC2,d,1,True,True,1.2516,1.2516,561098.545939
