timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-01T16:51:39,4,single_finger,single_trial_02,1,ring,s,1,SC1,a,1,False,False,0.1341,0.1341,563433.064985
2026-04-01T16:51:44,4,single_finger,single_trial_02,2,ring,s,1,SC1,a,1,False,False,0.2932,0.2932,563438.196252
2026-04-01T16:51:48,4,single_finger,single_trial_02,3,ring,s,1,SC1,s,1,True,True,0.0338,0.0338,563442.680904
2026-04-01T16:51:56,4,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.9511,0.9511,563449.720617
2026-04-01T16:52:03,4,single_finger,single_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.4195,0.4195,563457.042985
2026-04-01T16:52:57,4,single_finger,single_trial_04,1,index,f,3,SC3,f,1,True,True,0.1058,0.1058,563511.15191
2026-04-01T16:53:04,4,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.3982,0.3982,563517.655122
2026-04-01T16:53:19,4,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,3.6431,3.6431,563530.161904
2026-04-01T16:53:26,4,consistency,consistency_trial_02,1,ring,s,1,SC1,s,1,True,True,0.3988,0.3988,563540.032683
2026-04-01T16:53:34,4,consistency,consistency_trial_08,1,middle,d,2,SC2,s,1,False,False,1.5783,1.5783,563546.726175
2026-04-01T16:53:40,4,consistency,consistency_trial_08,2,middle,d,2,SC2,s,1,False,False,0.1051,0.1051,563554.587326
2026-04-01T16:53:46,4,consistency,consistency_trial_08,3,middle,d,2,SC2,s,1,False,False,0.0054,0.0054,563560.730838
2026-04-01T16:53:53,4,consistency,consistency_trial_08,4,middle,d,2,SC2,s,1,False,False,1.1051,1.1051,563566.180466
2026-04-01T16:54:04,4,consistency,consistency_trial_08,5,middle,d,2,SC2,d,1,True,True,1.2913,1.2913,563577.397163
2026-04-01T16:54:36,4,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,1.5778,1.5778,563608.470759
2026-04-01T16:54:42,4,consistency,consistency_trial_07,1,ring,s,1,SC1,a,1,False,False,0.6928,0.6928,563616.155569
2026-04-01T16:54:46,4,consistency,consistency_trial_07,2,ring,s,1,SC1,s,1,True,True,0.0569,0.0569,563620.899995
2026-04-01T16:54:53,4,consistency,consistency_trial_09,1,index,f,3,SC3,f,1,True,True,0.0343,0.0343,563627.332606
2026-04-01T16:55:01,4,consistency,consistency_trial_01,1,pinky,a,0,SC0,a,1,True,True,1.7233,1.7233,563633.360209
2026-04-01T16:55:08,4,consistency,consistency_trial_04,1,index,f,3,SC3,f,1,True,True,0.0106,0.0106,563642.471141
2026-04-01T16:55:15,4,consistency,consistency_trial_06,1,pinky,a,0,SC0,a,1,True,True,0.7005,0.7005,563649.2825
2026-04-01T16:55:22,4,consistency,consistency_trial_03,1,middle,d,2,SC2,d,1,True,True,0.7331,0.7331,563656.183034
2026-04-01T16:55:42,4,sequence,sequence_trial_05,1,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,a-s-d,3,False,False,1.2507,,563667.139273
2026-04-01T16:56:06,4,sequence,sequence_trial_05,2,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,a-d-d-f-space,5,False,False,3.6918,7.7582,563690.474168
