timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-03-29T16:59:00,1,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,2.9283,2.9283,437220.878
2026-03-29T16:59:06,1,single_finger,single_trial_04,1,index,f,3,SC3,space,1,False,False,0.1233,0.1233,437229.714476
2026-03-29T16:59:10,1,single_finger,single_trial_04,2,index,f,3,SC3,f,1,True,True,0.5739,0.5739,437233.518374
2026-03-29T16:59:16,1,single_finger,single_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.4642,0.4642,437240.088083
2026-03-29T16:59:23,1,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.5597,0.5597,437246.434852
2026-03-29T16:59:29,1,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.5207,0.5207,437253.018334
2026-03-29T16:59:37,1,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,0.4273,0.4273,437261.044892
2026-03-29T16:59:43,1,consistency,consistency_trial_04,1,index,f,3,SC3,space,1,False,False,0.332,0.332,437267.172518
2026-03-29T16:59:47,1,consistency,consistency_trial_04,2,index,f,3,SC3,f,1,True,True,0.3922,0.3922,437271.091904
2026-03-29T16:59:54,1,consistency,consistency_trial_06,1,pinky,a,0,SC0,a,1,True,True,0.703,0.703,437277.635165
2026-03-29T17:00:01,1,consistency,consistency_trial_09,1,index,f,3,SC3,d,1,False,False,0.9526,0.9526,437284.326236
2026-03-29T17:00:06,1,consistency,consistency_trial_09,2,index,f,3,SC3,f,1,True,True,1.3854,1.3854,437288.812965
2026-03-29T17:00:13,1,consistency,consistency_trial_01,1,pinky,a,0,SC0,s,1,False,False,0.8,0.8,437296.038957
2026-03-29T17:00:20,1,consistency,consistency_trial_01,2,pinky,a,0,SC0,a,1,True,True,1.2182,1.2182,437302.65778
2026-03-29T17:00:26,1,consistency,consistency_trial_08,1,middle,d,2,SC2,d,1,True,True,0.6166,0.6166,437309.793508
2026-03-29T17:00:32,1,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.2342,0.2342,437316.173706
2026-03-29T17:00:38,1,consistency,consistency_trial_07,1,ring,s,1,SC1,s,1,True,True,0.4139,0.4139,437322.059562
2026-03-29T17:00:44,1,consistency,consistency_trial_02,1,ring,s,1,SC1,d,1,False,False,0.499,0.499,437328.11939
