timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-01T17:17:33,5,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.8735,0.8735,564986.750507
2026-04-01T17:17:46,5,single_finger,single_trial_01,1,pinky,a,0,SC0,a,1,True,True,2.1582,2.1582,564998.671702
2026-04-01T17:17:52,5,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.1373,0.1373,565006.902484
2026-04-01T17:17:59,5,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.6503,0.6503,565013.31886
2026-04-01T17:18:07,5,single_finger,single_trial_04,1,index,f,3,SC3,f,1,True,True,0.1509,0.1509,565021.114726
2026-04-01T17:18:20,5,consistency,consistency_trial_09,1,index,f,3,SC3,f,1,True,True,0.8512,0.8512,565033.960256
2026-04-01T17:18:27,5,consistency,consistency_trial_04,1,index,f,3,SC3,f,1,True,True,0.8212,0.8212,565041.016822
2026-04-01T17:18:38,5,consistency,consistency_trial_07,1,ring,s,1,SC1,s,1,True,True,1.6159,1.6159,565050.960042
2026-04-01T17:18:49,5,consistency,consistency_trial_08,1,middle,d,2,SC2,s,1,False,False,1.1592,1.1592,565062.776894
2026-04-01T17:18:53,5,consistency,consistency_trial_08,2,middle,d,2,SC2,d,1,True,True,0.2153,0.2153,565067.722862
2026-04-01T17:18:59,5,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,0.0827,0.0827,565073.141816
2026-04-01T17:19:06,5,consistency,consistency_trial_06,1,pinky,a,0,SC0,a,1,True,True,0.4555,0.4555,565079.788642
2026-04-01T17:19:12,5,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.0645,0.0645,565086.501217
2026-04-01T17:19:19,5,consistency,consistency_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.1789,0.1789,565093.254713
2026-04-01T17:19:25,5,consistency,consistency_trial_02,1,ring,s,1,SC1,a,1,False,False,0.4681,0.4681,565099.294098
2026-04-01T17:19:30,5,consistency,consistency_trial_02,2,ring,s,1,SC1,s,1,True,True,0.6577,0.6577,565103.94091
