timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-02T00:26:30,8,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,0.1447,0.1447,571273.639961
2026-04-02T00:26:37,8,single_finger,single_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.623,0.623,571280.355384
2026-04-02T00:26:44,8,single_finger,single_trial_04,1,index,f,3,SC3,d,1,False,False,0.2218,0.2218,571287.642449
2026-04-02T00:26:50,8,single_finger,single_trial_04,2,index,f,3,SC3,f,1,True,True,0.1961,0.1961,571293.570149
2026-04-02T00:26:56,8,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.0894,0.0894,571300.085713
2026-04-02T00:27:03,8,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.5206,0.5206,571306.308568
2026-04-02T00:27:14,8,consistency,consistency_trial_03,1,middle,d,2,SC2,d,1,True,True,0.1041,0.1041,571317.701149
2026-04-02T00:27:22,8,consistency,consistency_trial_09,1,index,f,3,SC3,d,1,False,False,1.0516,1.0516,571325.399085
2026-04-02T00:27:27,8,consistency,consistency_trial_09,2,index,f,3,SC3,f,1,True,True,0.5628,0.5628,571330.779013
2026-04-02T00:27:34,8,consistency,consistency_trial_02,1,ring,s,1,SC1,s,1,True,True,0.1523,0.1523,571337.769878
2026-04-02T00:27:41,8,consistency,consistency_trial_04,1,index,f,3,SC3,f,1,True,True,0.682,0.682,571343.958465
2026-04-02T00:27:49,8,consistency,consistency_trial_08,1,middle,d,2,SC2,d,1,True,True,0.2826,0.2826,571352.357948
2026-04-02T00:27:55,8,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,0.5003,0.5003,571358.733614
2026-04-02T00:28:02,8,consistency,consistency_trial_01,1,pinky,a,0,SC0,s,1,False,False,0.396,0.396,571365.891957
2026-04-02T00:28:07,8,consistency,consistency_trial_01,2,pinky,a,0,SC0,a,1,True,True,0.5438,0.5438,571370.546571
2026-04-02T00:28:13,8,consistency,consistency_trial_07,1,ring,s,1,SC1,s,1,True,True,0.0659,0.0659,571376.987978
2026-04-02T00:28:21,8,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,2.2084,2.2084,571383.328933
2026-04-02T00:28:30,8,consistency,consistency_trial_06,1,pinky,a,0,SC0,s,1,False,False,2.021,2.021,571391.642884
2026-04-02T00:28:35,8,consistency,consistency_trial_06,2,pinky,a,0,SC0,s,1,False,False,0.0758,0.0758,571398.732998
2026-04-02T00:28:40,8,consistency,consistency_trial_06,3,pinky,a,0,SC0,a,1,True,True,0.8431,0.8431,571403.054396
2026-04-02T00:28:57,8,sequence,sequence_trial_07,1,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,s-d-f-space-a,5,False,False,3.085,5.4871,571413.417483
2026-04-02T00:29:06,8,sequence,sequence_trial_07,2,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,a-f-s-d-space,5,False,False,0.7514,2.6687,571425.151971
2026-04-02T00:29:17,8,sequence,sequence_trial_07,3,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,s-f-d-s-f,5,False,False,0.5022,2.5467,571436.835416
2026-04-02T00:29:27,8,sequence,sequence_trial_07,4,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,s-f-a-f-s,5,False,False,0.4737,3.1572,571446.502767
2026-04-02T00:29:38,8,sequence,sequence_trial_07,5,pinky-index-ring-thumb-middle,a-f-s-space-d,0-3-1-4-2,SC0|SC3|SC1|SC4|SC2,s-f-s-d-space,5,False,False,0.3071,3.8158,571456.422021
2026-04-02T00:29:50,8,sequence,sequence_trial_04,1,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,SC0|SC4|SC1|SC3|SC2,s-s-a-d-f,5,False,False,0.3738,3.7528,571468.143103
2026-04-02T00:29:59,8,sequence,sequence_trial_04,2,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,SC0|SC4|SC1|SC3|SC2,s-d-f-space-a,5,False,False,0.663,3.2674,571477.91305
2026-04-02T00:30:08,8,sequence,sequence_trial_04,3,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,SC0|SC4|SC1|SC3|SC2,s-d-f-space-a,5,False,False,0.8528,3.0246,571487.192716
2026-04-02T00:30:19,8,sequence,sequence_trial_04,4,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,SC0|SC4|SC1|SC3|SC2,space-f-s-a-space,5,False,False,0.8195,5.1978,571496.34128
2026-04-02T00:30:27,8,sequence,sequence_trial_04,5,pinky-thumb-ring-index-middle,a-space-s-f-d,0-4-1-3-2,SC0|SC4|SC1|SC3|SC2,a-f-d-s-space,5,False,False,0.3135,2.0321,571507.738432
2026-04-02T00:30:41,8,sequence,sequence_trial_05,1,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,s-f-s-f-s,5,False,False,2.0689,3.9819,571519.131901
2026-04-02T00:30:49,8,sequence,sequence_trial_05,2,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,s-f-a-f-s,5,False,False,0.4114,2.5829,571529.220484
2026-04-02T00:30:58,8,sequence,sequence_trial_05,3,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,a-f-s-space-a,5,False,False,1.0156,3.0346,571537.640845
2026-04-02T00:31:07,8,sequence,sequence_trial_05,4,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,s-d-f-space-a,5,False,False,0.097,1.9608,571547.198154
2026-04-02T00:31:29,8,sequence,sequence_trial_05,5,pinky-middle-thumb-ring-index,a-d-space-s-f,0-2-4-1-3,SC0|SC2|SC4|SC1|SC3,s-f-d-s-space,5,False,False,0.4372,3.0811,571568.589583
2026-04-02T00:31:44,8,sequence,sequence_trial_06,1,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,SC4|SC2|SC0|SC3|SC1,f-d-s-a-space,5,False,False,0.7965,2.6508,571583.927694
2026-04-02T00:31:53,8,sequence,sequence_trial_06,2,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,SC4|SC2|SC0|SC3|SC1,f-space-d-s-a,5,False,False,0.8075,2.5494,571592.718932
2026-04-02T00:32:02,8,sequence,sequence_trial_06,3,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,SC4|SC2|SC0|SC3|SC1,space-space-d-s-a,5,False,False,0.2649,2.7675,571601.090909
2026-04-02T00:32:12,8,sequence,sequence_trial_06,4,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,SC4|SC2|SC0|SC3|SC1,f-s-a-space-d,5,False,False,0.4515,3.6709,571610.146327
2026-04-02T00:32:26,8,sequence,sequence_trial_06,5,thumb-middle-pinky-index-ring,space-d-a-f-s,4-2-0-3-1,SC4|SC2|SC0|SC3|SC1,space-f-d-s-a,5,False,False,0.5004,2.2202,571626.316145
2026-04-02T00:32:55,8,sequence,sequence_trial_03,1,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,SC2|SC3|SC4|SC1|SC0,d-f-s-a-f,5,False,False,0.1481,2.4106,571655.225514
2026-04-02T00:33:06,8,sequence,sequence_trial_03,2,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,SC2|SC3|SC4|SC1|SC0,d-f-s-f-space,5,False,False,0.0539,4.776,571663.989437
2026-04-02T00:33:15,8,sequence,sequence_trial_03,3,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,SC2|SC3|SC4|SC1|SC0,d-f-s-space-a,5,False,False,0.3944,2.571,571675.104834
2026-04-02T00:33:23,8,sequence,sequence_trial_03,4,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,SC2|SC3|SC4|SC1|SC0,s-d-f-space-a,5,False,False,0.3249,2.1904,571683.581263
2026-04-02T00:33:32,8,sequence,sequence_trial_03,5,middle-index-thumb-ring-pinky,d-f-space-s-a,2-3-4-1-0,SC2|SC3|SC4|SC1|SC0,d-s-f-a-space,5,False,False,0.5852,2.9003,571691.794177
2026-04-02T00:33:42,8,sequence,sequence_trial_01,1,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,s-s-d-f-space,5,False,False,0.2251,2.0347,571702.640608
2026-04-02T00:33:51,8,sequence,sequence_trial_01,2,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,s-d-f-space-s,5,False,False,0.4902,3.125,571710.5012
2026-04-02T00:34:02,8,sequence,sequence_trial_01,3,pinky-ring-middle-index-thumb,a-s-d-f-space,0-1-2-3-4,SC0|SC1|SC2|SC3|SC4,d-f-s-f-space,5,False,False,1.8866,4.6891,571720.008534
