timestamp,participant_id,test_type,pattern_name,run_number,expected_finger_sequence,expected_key_sequence,expected_channel_sequence,sent_command_sequence,response_key_sequence,response_length,was_correct,successful_run,first_key_latency_sec,completion_latency_sec,stimulus_start_perf_counter
2026-04-01T16:31:26,3,single_finger,single_trial_04,1,index,f,3,SC3,f,1,True,True,3.6357,3.6357,562216.758351
2026-04-01T16:31:35,3,single_finger,single_trial_05,1,thumb,space,4,SC4,space,1,True,True,0.2145,0.2145,562228.991476
2026-04-01T16:31:57,3,single_finger,single_trial_03,1,middle,d,2,SC2,d,1,True,True,3.5628,3.5628,562247.807175
2026-04-01T16:32:07,3,single_finger,single_trial_02,1,ring,s,1,SC1,s,1,True,True,0.3046,0.3046,562261.066107
2026-04-01T16:32:15,3,single_finger,single_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.0201,0.0201,562268.944495
2026-04-01T16:32:27,3,consistency,consistency_trial_07,1,ring,s,1,SC1,s,1,True,True,1.6147,1.6147,562279.441306
2026-04-01T16:32:34,3,consistency,consistency_trial_02,1,ring,s,1,SC1,s,1,True,True,0.6517,0.6517,562287.314691
2026-04-01T16:32:41,3,consistency,consistency_trial_10,1,thumb,space,4,SC4,space,1,True,True,1.3662,1.3662,562294.359954
2026-04-01T16:32:57,3,consistency,consistency_trial_06,1,pinky,a,0,SC0,,0,False,False,,,562303.350187
2026-04-01T16:33:34,3,consistency,consistency_trial_06,2,pinky,a,0,SC0,a,1,True,True,0.9702,0.9702,562347.199552
2026-04-01T16:33:43,3,consistency,consistency_trial_09,1,index,f,3,SC3,space,1,False,False,3.0781,3.0781,562354.329524
2026-04-01T16:33:47,3,consistency,consistency_trial_09,2,index,f,3,SC3,f,1,True,True,0.5326,0.5326,562361.125048
2026-04-01T16:33:54,3,consistency,consistency_trial_01,1,pinky,a,0,SC0,a,1,True,True,0.626,0.626,562367.344215
2026-04-01T16:34:00,3,consistency,consistency_trial_03,1,middle,d,2,SC2,d,1,True,True,0.169,0.169,562373.839038
2026-04-01T16:35:05,3,consistency,consistency_trial_05,1,thumb,space,4,SC4,space,1,True,True,1.0156,1.0156,562437.977263
